artist,track,album,album_name,album_type,album_date,album_tracks,album_pic,indexOf,genres,year,alphaname
Allah-Las,Long Journey,Allah-Las,Allah-Las,Album,2012-10-28,Catamaran (03:32)/Don't You Forget It (03:04)/Busman's Holiday (03:27)/Sacred Sands (03:31)/No Voodoo (03:01)/Sandy (02:44)/Ela Navega (03:54)/Tell Me (What's on Your Mind) (03:31)/Catalina (03:43)/Vis-a-Vis (03:28)/Seven Point Five (02:47)/Long Journey (03:12),https://i.scdn.co/image/ab67616d00001e02db27283ab2ae5eddb265d9a7,241.0,Indie Surf/Neo-psychedelic/Noise Pop,2012,Allah-Las
Allah-Las,Come On,Aquarium Drunkard's Lagniappe Session,Aquarium Drunkard's Lagniappe Session,Single,2015-09-11,Come On (01:56)/I Cannot Lie (03:02)/Lady Rachel (05:10),https://i.scdn.co/image/ab67616d00001e02b3f804c2e843b7f832aaa29f,0.0,Indie Surf/Neo-psychedelic/Noise Pop,2015,Allah-Las
Allah-Las,I Cannot Lie,Aquarium Drunkard's Lagniappe Session,Aquarium Drunkard's Lagniappe Session,Single,2015-09-11,Come On (01:56)/I Cannot Lie (03:02)/Lady Rachel (05:10),https://i.scdn.co/image/ab67616d00001e02b3f804c2e843b7f832aaa29f,16.0,Indie Surf/Neo-psychedelic/Noise Pop,2015,Allah-Las
Allah-Las,Strange Heat,Calico Review,Calico Review,Album,2016-09-09,Strange Heat (02:25)/Satisfied (03:38)/Could Be You (03:13)/High & Dry (02:50)/Mausoleum (02:31)/Roadside Memorial (02:38)/Autumn Dawn (03:35)/Famous Phone Figure (02:25)/200 South La Brea (02:49)/Warmed Kippers (02:51)/Terra Ignota (03:25)/Place in the Sun (03:07),https://i.scdn.co/image/ab67616d00001e029febd4c0d146331f9d072a78,0.0,Indie Surf/Neo-psychedelic/Noise Pop,2016,Allah-Las
Allah-Las,Terra Ignota,Calico Review,Calico Review,Album,2016-09-09,Strange Heat (02:25)/Satisfied (03:38)/Could Be You (03:13)/High & Dry (02:50)/Mausoleum (02:31)/Roadside Memorial (02:38)/Autumn Dawn (03:35)/Famous Phone Figure (02:25)/200 South La Brea (02:49)/Warmed Kippers (02:51)/Terra Ignota (03:25)/Place in the Sun (03:07),https://i.scdn.co/image/ab67616d00001e029febd4c0d146331f9d072a78,220.0,Indie Surf/Neo-psychedelic/Noise Pop,2016,Allah-Las
Allah-Las,Place in the Sun,Calico Review,Calico Review,Album,2016-09-09,Strange Heat (02:25)/Satisfied (03:38)/Could Be You (03:13)/High & Dry (02:50)/Mausoleum (02:31)/Roadside Memorial (02:38)/Autumn Dawn (03:35)/Famous Phone Figure (02:25)/200 South La Brea (02:49)/Warmed Kippers (02:51)/Terra Ignota (03:25)/Place in the Sun (03:07),https://i.scdn.co/image/ab67616d00001e029febd4c0d146331f9d072a78,241.0,Indie Surf/Neo-psychedelic/Noise Pop,2016,Allah-Las
Allah-Las,Holding Pattern,LAHS,LAHS,Album,2019-10-11,Holding Pattern (04:08)/Keeping Dry (03:54)/In the Air (02:13)/Prazer Em Te Conhecer (03:06)/Roco Ono (04:02)/Star (04:08)/Royal Blues (02:32)/Electricity (02:58)/Light Yearly (04:01)/Polar Onion (02:46)/On Our Way (03:34)/Houston (02:13)/Pleasure (04:22),https://i.scdn.co/image/ab67616d00001e02b21a7ca2915a8d584ccc81b3,0.0,Indie Surf/Neo-psychedelic/Noise Pop,2019,Allah-Las
Allah-Las,Roco Ono,LAHS,LAHS,Album,2019-10-11,Holding Pattern (04:08)/Keeping Dry (03:54)/In the Air (02:13)/Prazer Em Te Conhecer (03:06)/Roco Ono (04:02)/Star (04:08)/Royal Blues (02:32)/Electricity (02:58)/Light Yearly (04:01)/Polar Onion (02:46)/On Our Way (03:34)/Houston (02:13)/Pleasure (04:22),https://i.scdn.co/image/ab67616d00001e02b21a7ca2915a8d584ccc81b3,93.0,Indie Surf/Neo-psychedelic/Noise Pop,2019,Allah-Las
Allah-Las,Electricity,LAHS,LAHS,Album,2019-10-11,Holding Pattern (04:08)/Keeping Dry (03:54)/In the Air (02:13)/Prazer Em Te Conhecer (03:06)/Roco Ono (04:02)/Star (04:08)/Royal Blues (02:32)/Electricity (02:58)/Light Yearly (04:01)/Polar Onion (02:46)/On Our Way (03:34)/Houston (02:13)/Pleasure (04:22),https://i.scdn.co/image/ab67616d00001e02b21a7ca2915a8d584ccc81b3,143.0,Indie Surf/Neo-psychedelic/Noise Pop,2019,Allah-Las
Allah-Las,Polar Onion,LAHS,LAHS,Album,2019-10-11,Holding Pattern (04:08)/Keeping Dry (03:54)/In the Air (02:13)/Prazer Em Te Conhecer (03:06)/Roco Ono (04:02)/Star (04:08)/Royal Blues (02:32)/Electricity (02:58)/Light Yearly (04:01)/Polar Onion (02:46)/On Our Way (03:34)/Houston (02:13)/Pleasure (04:22),https://i.scdn.co/image/ab67616d00001e02b21a7ca2915a8d584ccc81b3,184.0,Indie Surf/Neo-psychedelic/Noise Pop,2019,Allah-Las
Allah-Las,Blackberry Jam,Self Discovery for Social Survival,Self Discovery for Social Survival,Compilation,2019-06-14,Var Har Du Varit (03:27)/Mulberry Jam (03:17)/Breeze (02:02)/Raspberry Jam (03:48)/Blueberry Jam (03:13)/Swell (01:55)/Boysenberry Jam (03:00)/Blackberry Jam (03:04)/Bad Boys (06:50)/Mirror in the Sky (05:38)/Surf or Not (01:12)/Aurora Borawhatawhata (02:02)/Hold On (05:36)/Mountain Pass (01:25),https://i.scdn.co/image/ab67616d00001e02e5d3eb93bc977e5d44bdf4fe,143.0,,2019,Allah-Las
Allah-Las,Stoned,Stoned - Psych Versions of the Rolling Stones,Stoned - Psych Versions of the Rolling Stones,Compilation,2015-01-20,What a Shame (03:51)/Sympathy for the Devil (04:48)/Under My Thumb (03:34)/Sway (04:52)/It's Only Rock & Roll (But I Like It) (03:06)/Gimme Shelter (04:27)/She Smiled Sweetly (03:32)/Child of the Moon (05:34)/Take It or Leave It (03:22)/Stoned (02:35)/(I Can't Get No) Satisfaction (02:42)/Beast of Burden (04:14)/As Tears Go By (03:43)/Wild Horses (05:52),https://i.scdn.co/image/ab67616d00001e02b5f0a897b259fc56f165dafe,237.0,,2015,Allah-Las
Allah-Las,De Vida Voz,Worship the Sun,Worship the Sun,Album,2014-09-15,De Vida Voz (02:31)/Had It All (02:40)/Artifact (03:33)/Ferus Gallery (03:35)/Recurring (02:16)/Nothing to Hide (03:40)/Buffalo Nickel (02:46)/Follow You Down (03:10)/501-415 (01:43)/Yemeni Jade (02:38)/Worship the Sun (02:49)/Better Than Mine (02:49)/No Werewolf (02:28)/Every Girl (03:25),https://i.scdn.co/image/ab67616d00001e0217fbd53c45afa1a90846aa28,0.0,Indie Surf/Neo-psychedelic/Noise Pop,2014,Allah-Las
